image_size,kernel_size,naive,serial,metal,openmp
256,81,1037,290,39,268
512,81,6250,1266,119,995
1024,81,30073,5455,510,4132
2048,81,131484,22830,1549,16189
4096,81,541208,94927,4862,66742
